w;x;y;Heff
274;531609.75;6421428.00;19.97
276;530158.22;6413673.59;20.58
277;530744.31;6413679.41;26.41
278;530090.31;6413162.09;20.06
279;530430.20;6413182.39;19.28
280;530175.92;6412637.64;20.18
282;530767.65;6412663.29;16.87
288;531187.96;6423191.77;19.72
291;530123.43;6421668.77;15.22
292;530106.62;6421102.58;16.83
293;531929.63;6421113.84;20.89
294;530631.25;6422553.74;17.74
295;531780.83;6422619.16;17.39
297;529566.10;6422136.02;21.64
299;528965.64;6420063.11;22.68
300;528633.09;6424116.38;18.21
301;529208.91;6424253.72;17.86
309;528407.33;6423576.78;17.16
311;528969.50;6423749.62;18.22
314;531045.71;6422003.37;16.5
315;530554.50;6423206.10;22.76
319;529142.71;6423204.33;20.51
320;527984.97;6422164.14;21
321;529772.63;6423282.88;21.1
325;532624.21;6421759.01;18.42
326;529227.71;6421271.36;22.24
327;531491.56;6422191.49;16.38
328;527943.62;6422681.51;20.74
329;529593.29;6421053.81;20.17
330;528609.72;6422949.06;17.17
332;529956.82;6422699.54;19.42
334;531193.49;6422580.30;19.44
336;532361.33;6422317.67;21.14
337;529216.78;6420575.10;19.92
338;529423.48;6420090.58;20.08
339;532481.37;6421331.67;15.9
341;528640.13;6419769.08;25.39
342;528795.00;6422273.67;21.22
343;528803.37;6420391.86;22.01
345;530228.48;6422134.38;16.11
346;530619.65;6421886.56;18.23
347;531825.71;6421870.95;17.21
348;531435.83;6421790.63;19.05
351;529826.63;6418877.24;24.44
352;527360.25;6422192.21;19.96
354;529079.49;6421749.37;23.38
356;529623.68;6421614.71;20.65
358;530467.11;6421502.25;19.37
360;531269.14;6421373.87;22.91
361;532079.12;6421535.44;17.53
372;531743.79;6420634.06;19.74
373;530949.23;6421626.98;17.07
375;530874.24;6421251.51;19.75
382;530474.46;6420854.49;18.28
383;529778.24;6420484.70;22.01
384;530424.24;6420431.25;21.17
385;531515.91;6421028.89;20.36
386;531202.11;6419940.92;18.54
387;532186.88;6420309.57;18.74
389;533412.17;6420224.14;18.07
397;527424.04;6422744.81;17.6
398;532831.55;6420396.54;18.87
400;530609.05;6419984.37;20.11
401;532398.60;6418814.90;17.21
402;532995.20;6419749.55;18.39
403;530023.46;6419967.36;21.25
407;530117.81;6419098.96;23.87
408;530378.03;6419467.38;22.28
409;529626.34;6419582.53;20.96
410;531468.72;6419389.35;19.91
412;532748.80;6419282.64;18.1
414;533738.82;6419172.65;17.85
422;530558.18;6418790.28;23.16
423;530198.82;6418636.29;22.49
425;531567.91;6418395.11;19.68
432;532423.02;6418304.14;16.38
433;532904.64;6418585.81;16.88
434;531250.42;6414010.67;19.07
435;533133.86;6418114.39;19.41
436;533767.09;6418139.42;16.09
442;530792.03;6419515.86;19.45
443;531976.24;6418075.04;17.01
452;531959.25;6417201.61;29.27
453;532528.96;6417162.47;22.32
455;533664.11;6417097.70;14.81
461;532120.51;6416693.26;12.74
463;530901.19;6419121.01;19.85
470;531863.00;6416173.21;30.09
471;532947.72;6414731.78;16.86
472;533120.95;6416084.80;24.88
474;534014.24;6416001.80;17.7
476;532150.19;6414567.28;20.67
480;532605.21;6416016.40;17.87
483;533817.60;6415541.11;15.88
489;532377.95;6415173.22;22.12
490;532888.83;6413474.48;16.74
491;533463.19;6415070.95;19.83
496;532359.36;6419847.11;19.43
498;532482.79;6414171.23;19.91
500;534020.59;6414799.43;17.19
501;533643.30;6414310.52;17.96
506;531912.17;6414144.38;19.04
507;533209.03;6419090.99;18.05
508;532914.74;6414191.61;18.44
510;534163.39;6413975.33;17.4
513;531748.87;6413793.30;17.01
514;532357.87;6413666.63;18.01
515;533468.77;6413598.42;18.11
517;531255.38;6413467.10;16.77
518;531836.06;6413275.89;15.8
522;534121.93;6413211.23;19.54
531;531421.22;6412978.49;19.82
532;532409.92;6413108.82;17.7
534;531876.79;6412710.35;17.17
540;533450.48;6418632.52;16.08
541;532624.50;6417752.22;32.05
542;533148.68;6416812.88;19.68
543;533707.17;6413145.92;22.82
544;533482.52;6417594.06;18.71
545;532143.92;6417597.82;21.76
547;533164.80;6415612.75;20.5
549;533079.13;6417293.92;23.62
550;531177.16;6418731.77;21.56
551;531618.28;6415519.48;20.04
552;532765.69;6416525.13;22.52
553;532075.13;6415718.32;25.74
554;531900.39;6415105.00;19.97
555;532909.59;6415180.06;23.24
557;531543.02;6414371.22;22.01
558;530703.50;6414120.70;31.36
559;529687.44;6412828.61;21.15
581;531050.94;6413167.31;22.29
